MeasuredValue,SampleId,Trial
74.03,S01,TRUE
74.002,S01,TRUE
74.019,S01,TRUE
73.992,S01,TRUE
74.008,S01,TRUE
73.995,S02,TRUE
73.992,S02,TRUE
74.001,S02,TRUE
74.011,S02,TRUE
74.004,S02,TRUE
73.988,S03,TRUE
74.024,S03,TRUE
74.021,S03,TRUE
74.005,S03,TRUE
74.002,S03,TRUE
74.002,S04,TRUE
73.996,S04,TRUE
73.993,S04,TRUE
74.015,S04,TRUE
74.009,S04,TRUE
73.992,S05,TRUE
74.007,S05,TRUE
74.015,S05,TRUE
73.989,S05,TRUE
74.014,S05,TRUE
74.009,S06,TRUE
73.994,S06,TRUE
73.997,S06,TRUE
73.985,S06,TRUE
73.993,S06,TRUE
73.995,S07,TRUE
74.006,S07,TRUE
73.994,S07,TRUE
74,S07,TRUE
74.005,S07,TRUE
73.985,S08,TRUE
74.003,S08,TRUE
73.993,S08,TRUE
74.015,S08,TRUE
73.988,S08,TRUE
74.008,S09,TRUE
73.995,S09,TRUE
74.009,S09,TRUE
74.005,S09,TRUE
74.004,S09,TRUE
73.998,S10,TRUE
74,S10,TRUE
73.99,S10,TRUE
74.007,S10,TRUE
73.995,S10,TRUE
73.994,S11,TRUE
73.998,S11,TRUE
73.994,S11,TRUE
73.995,S11,TRUE
73.99,S11,TRUE
74.004,S12,TRUE
74,S12,TRUE
74.007,S12,TRUE
74,S12,TRUE
73.996,S12,TRUE
73.983,S13,TRUE
74.002,S13,TRUE
73.998,S13,TRUE
73.997,S13,TRUE
74.012,S13,TRUE
74.006,S14,TRUE
73.967,S14,TRUE
73.994,S14,TRUE
74,S14,TRUE
73.984,S14,TRUE
74.012,S15,TRUE
74.014,S15,TRUE
73.998,S15,TRUE
73.999,S15,TRUE
74.007,S15,TRUE
74,S16,TRUE
73.984,S16,TRUE
74.005,S16,TRUE
73.998,S16,TRUE
73.996,S16,TRUE
73.994,S17,TRUE
74.012,S17,TRUE
73.986,S17,TRUE
74.005,S17,TRUE
74.007,S17,TRUE
74.006,S18,TRUE
74.01,S18,TRUE
74.018,S18,TRUE
74.003,S18,TRUE
74,S18,TRUE
73.984,S19,TRUE
74.002,S19,TRUE
74.003,S19,TRUE
74.005,S19,TRUE
73.997,S19,TRUE
74,S20,TRUE
74.01,S20,TRUE
74.013,S20,TRUE
74.02,S20,TRUE
74.003,S20,TRUE
73.988,S21,TRUE
74.001,S21,TRUE
74.009,S21,TRUE
74.005,S21,TRUE
73.996,S21,TRUE
74.004,S22,TRUE
73.999,S22,TRUE
73.99,S22,TRUE
74.006,S22,TRUE
74.009,S22,TRUE
74.01,S23,TRUE
73.989,S23,TRUE
73.99,S23,TRUE
74.009,S23,TRUE
74.014,S23,TRUE
74.015,S24,TRUE
74.008,S24,TRUE
73.993,S24,TRUE
74,S24,TRUE
74.01,S24,TRUE
73.982,S25,TRUE
73.984,S25,TRUE
73.995,S25,TRUE
74.017,S25,TRUE
74.013,S25,TRUE
74.012,S26,FALSE
74.015,S26,FALSE
74.03,S26,FALSE
73.986,S26,FALSE
74,S26,FALSE
73.995,S27,FALSE
74.01,S27,FALSE
73.99,S27,FALSE
74.015,S27,FALSE
74.001,S27,FALSE
73.987,S28,FALSE
73.999,S28,FALSE
73.985,S28,FALSE
74,S28,FALSE
73.99,S28,FALSE
74.008,S29,FALSE
74.01,S29,FALSE
74.003,S29,FALSE
73.991,S29,FALSE
74.006,S29,FALSE
74.003,S30,FALSE
74,S30,FALSE
74.001,S30,FALSE
73.986,S30,FALSE
73.997,S30,FALSE
73.994,S31,FALSE
74.003,S31,FALSE
74.015,S31,FALSE
74.02,S31,FALSE
74.004,S31,FALSE
74.008,S32,FALSE
74.002,S32,FALSE
74.018,S32,FALSE
73.995,S32,FALSE
74.005,S32,FALSE
74.001,S33,FALSE
74.004,S33,FALSE
73.99,S33,FALSE
73.996,S33,FALSE
73.998,S33,FALSE
74.015,S34,FALSE
74,S34,FALSE
74.016,S34,FALSE
74.025,S34,FALSE
74,S34,FALSE
74.03,S35,FALSE
74.005,S35,FALSE
74,S35,FALSE
74.016,S35,FALSE
74.012,S35,FALSE
74.001,S36,FALSE
73.99,S36,FALSE
73.995,S36,FALSE
74.01,S36,FALSE
74.024,S36,FALSE
74.015,S37,FALSE
74.02,S37,FALSE
74.024,S37,FALSE
74.005,S37,FALSE
74.019,S37,FALSE
74.035,S38,FALSE
74.01,S38,FALSE
74.012,S38,FALSE
74.015,S38,FALSE
74.026,S38,FALSE
74.017,S39,FALSE
74.013,S39,FALSE
74.036,S39,FALSE
74.025,S39,FALSE
74.026,S39,FALSE
74.01,S40,FALSE
74.005,S40,FALSE
74.029,S40,FALSE
74,S40,FALSE
74.02,S40,FALSE
