"factor1","factor2","factor3","response"
"Op I",1,"20.11.1987",15.9714569511999
"Op II",1,"20.11.1987",20.591793827864
"Op III",1,"20.11.1987",20.4546853784153
"Op I",2,"20.11.1987",20.4539350037531
"Op II",2,"20.11.1987",22.6038084923449
"Op III",2,"20.11.1987",21.8471078376811
"Op I",3,"20.11.1987",21.2020980234853
"Op II",3,"20.11.1987",20.1245729872525
"Op III",3,"20.11.1987",26.2021690572704
"Op I",4,"20.11.1987",24.1161384594477
"Op II",4,"20.11.1987",27.172247208039
"Op III",4,"20.11.1987",23.581976474347
"Op I",1,"21.11.1987",21.3561286028932
"Op II",1,"21.11.1987",17.9283246151775
"Op III",1,"21.11.1987",24.8896858273086
"Op I",2,"21.11.1987",19.3125182356631
"Op II",2,"21.11.1987",24.0467500401542
"Op III",2,"21.11.1987",26.8524607574861
"Op I",3,"21.11.1987",19.5663532064541
"Op II",3,"21.11.1987",20.2805338432819
"Op III",3,"21.11.1987",22.6802957645864
"Op I",4,"21.11.1987",22.3816621217217
"Op II",4,"21.11.1987",21.7029032582759
"Op III",4,"21.11.1987",24.8466987017817
"Op I",1,"20.11.1987",26.2052197652461
"Op II",1,"20.11.1987",19.4385164680917
"Op III",1,"20.11.1987",22.3938806896974
"Op I",2,"20.11.1987",24.8015178694827
"Op II",2,"20.11.1987",21.6207638064531
"Op III",2,"20.11.1987",24.2573406398419
"Op I",3,"20.11.1987",19.7889179536214
"Op II",3,"20.11.1987",22.9322681867019
"Op III",3,"20.11.1987",24.5789695326784
"Op I",4,"20.11.1987",20.8757581170573
"Op II",4,"20.11.1987",16.9193793534812
"Op III",4,"20.11.1987",20.0429322072354
"Op I",1,"21.11.1987",18.1551924115402
"Op II",1,"21.11.1987",22.9004571346371
"Op III",1,"21.11.1987",21.5926716191822
"Op I",2,"21.11.1987",19.6346636926126
"Op II",2,"21.11.1987",21.2206559271881
"Op III",2,"21.11.1987",21.3183402649119
"Op I",3,"21.11.1987",22.3635708067196
"Op II",3,"21.11.1987",24.411991080982
"Op III",3,"21.11.1987",21.887588963294
"Op I",4,"21.11.1987",23.0014783639969
"Op II",4,"21.11.1987",25.3260942821015
"Op III",4,"21.11.1987",24.776391732388
"Op I",1,"20.11.1987",23.1623954448977
"Op II",1,"20.11.1987",21.0587345749323
"Op III",1,"20.11.1987",22.9715327600444
"Op I",2,"20.11.1987",23.1914560393075
"Op II",2,"20.11.1987",24.2466400916061
"Op III",2,"20.11.1987",24.4428473597589
"Op I",3,"20.11.1987",22.5690681658956
"Op II",3,"20.11.1987",18.6987281098531
"Op III",3,"20.11.1987",18.9537821408965
"Op I",4,"20.11.1987",22.7200098550256
"Op II",4,"20.11.1987",20.9117309174838
"Op III",4,"20.11.1987",19.4556252648425
"Op I",1,"21.11.1987",22.2353473667234
"Op II",1,"21.11.1987",21.4524529927791
"Op III",1,"21.11.1987",23.2400335818182
"Op I",2,"21.11.1987",21.0781506662602
"Op II",2,"21.11.1987",23.4826969372866
"Op III",2,"21.11.1987",20.7061971811253
"Op I",3,"21.11.1987",21.4855828160917
"Op II",3,"21.11.1987",24.2362751058703
"Op III",3,"21.11.1987",19.2905544579013
"Op I",4,"21.11.1987",20.8808620876447
"Op II",4,"21.11.1987",21.4458758711532
"Op III",4,"21.11.1987",21.361735404773
