"LineID","Measure"
"Line1",83
"Line1",76
"Line1",70
"Line1",76
"Line1",80
"Line1",65
"Line1",83
"Line1",75
"Line1",83
"Line1",63
"Line1",67
"Line1",85
"Line1",80
"Line1",88
"Line1",72
"Line1",94
"Line1",64
"Line1",83
"Line1",73
"Line1",78
"Line1",94
"Line1",83
"Line1",83
"Line1",80
"Line1",82
"Line1",66
"Line1",99
"Line1",85
"Line1",86
"Line1",67
"Line1",85
"Line1",83
"Line1",86
"Line1",79
"Line1",77
"Line1",85
"Line1",81
"Line1",71
"Line1",77
"Line1",76
"Line1",83
"Line1",75
"Line1",81
"Line1",54
"Line1",74
"Line1",77
"Line1",77
"Line1",83
"Line1",56
"Line1",75
"Line1",86
"Line1",90
"Line1",78
"Line1",74
"Line1",71
"Line1",75
"Line1",74
"Line1",81
"Line1",93
"Line1",86
"Line1",85
"Line1",87
"Line1",75
"Line1",69
"Line1",82
"Line1",57
"Line1",69
"Line1",78
"Line1",84
"Line1",99
"Line1",69
"Line1",76
"Line1",99
"Line1",71
"Line1",82
"Line1",82
"Line1",61
"Line1",99
"Line1",83
"Line1",73
"Line1",63
"Line1",92
"Line1",82
"Line1",81
"Line1",72
"Line1",81
"Line1",88
"Line1",67
"Line1",72
"Line1",87
"Line1",62
"Line1",95
"Line1",83
"Line1",70
"Line1",90
"Line1",90
"Line1",95
"Line1",92
"Line1",70
"Line1",75
"Line2",85
"Line2",67
"Line2",65
"Line2",85
"Line2",83
"Line2",60
"Line2",90
"Line2",76
"Line2",84
"Line2",69
"Line2",73
"Line2",85
"Line2",85
"Line2",80
"Line2",69
"Line2",94
"Line2",71
"Line2",77
"Line2",80
"Line2",83
"Line2",99
"Line2",89
"Line2",83
"Line2",75
"Line2",78
"Line2",65
"Line2",99
"Line2",87
"Line2",89
"Line2",70
"Line2",90
"Line2",86
"Line2",87
"Line2",83
"Line2",78
"Line2",90
"Line2",76
"Line2",71
"Line2",76
"Line2",81
"Line2",84
"Line2",83
"Line2",79
"Line2",59
"Line2",80
"Line2",82
"Line2",81
"Line2",83
"Line2",60
"Line2",76
"Line2",89
"Line2",86
"Line2",71
"Line2",78
"Line2",78
"Line2",77
"Line2",78
"Line2",84
"Line2",91
"Line2",85
"Line2",89
"Line2",80
"Line2",78
"Line2",69
"Line2",83
"Line2",61
"Line2",66
"Line2",83
"Line2",81
"Line2",99
"Line2",65
"Line2",77
"Line2",99
"Line2",67
"Line2",82
"Line2",90
"Line2",51
"Line2",93
"Line2",87
"Line2",76
"Line2",59
"Line2",92
"Line2",75
"Line2",84
"Line2",69
"Line2",80
"Line2",88
"Line2",67
"Line2",76
"Line2",84
"Line2",63
"Line2",91
"Line2",87
"Line2",76
"Line2",89
"Line2",83
"Line2",98
"Line2",91
"Line2",74
"Line2",78
